Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors
Hospals,2018,2020,"Medical, Tourism",Seed,"$ 15,00,000.00","New Delhi, Delhi, India",Hospals is a medical tourism company.,
Kogta Financial India Limited,2018,2018,Financial Services,Series B,"₹ 1,54,00,00,000.00","Jaipur, Rajasthan, India",Kogta Financial (India) Ltd is a retail-focused non banking financial company .,
Perspectico,2018,2015,"Career Planning, Education, Internet",Seed,—,"New Delhi, Delhi, India",An Education Management startup.,
The Souled Store,2018,2018,"Fashion, Graphic Design, Wearables",Venture - Series Unknown,"$ 30,00,000.00","Mumbai, Maharashtra, India","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",
Hush - Speak Up. Make Work Better,2018,2012,"Communities, Leisure, Mobile Apps, Software",Seed,"₹ 4,50,00,000.00","Bangalore, Karnataka, India",Enabling diversity of opinions in organizations,
Drivezy,2018,2015,"Automotive, Rental, Sharing Economy",Debt Financing,"$ 10,00,00,000.00","Bengaluru, Karnataka, India",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,
Freyr Energy,2018,2018,"Energy, Environmental Consulting, Renewable Energy, Solar",Series A,"$ 15,00,000.00","Hyderabad, Andhra Pradesh, India","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",
NIRAMAI Health Analytix,2018,2015,"Health Care, Hospital",Seed,"$ 60,00,000.00","Bangalore, Karnataka, India",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,
CloudSek,2018,2018,"Information Technology, SaaS, Security",Seed,"₹ 14,00,00,000.00","Bengaluru, Karnataka, India",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,
Lendbox,2018,2015,"Crowdfunding, Financial Services, Internet",Seed,"₹ 6,00,00,000.00","Delhi, Delhi, India",Lendbox is India's leading peer-to-peer lending online lending platform.,
Verloop,2018,2015,"Customer Service, Information Technology, Internet, Sales Automation",Series A,"$ 30,00,000.00","Bangalore, Karnataka, India",Verloop is an automated customer support and engagement platform.,
Flickstree,2018,2015,"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming",Seed,—,"Mumbai, Maharashtra, India","Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",
Paymatrix,2018,2012,"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",Seed,"$ 1,00,000.00","Hyderabad, Andhra Pradesh, India",India's Leading Property Rent management platform,
Idha Skin Clinic,2018,2019,"Beauty, Cosmetics, Health Care, Service Industry",Seed,"₹ 50,00,000.00","Bangalore City, Karnataka, India",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,
InCred,2018,2016,"Banking, Finance, Financial Services",Private Equity,"$ 4,19,00,000.00","Mumbai, Maharashtra, India",InCred Finance is a mumbai-based non-banking financial company,
Vedantu,2018,2015,"EdTech, Education, Mobile, Tutoring",Series B,"$ 1,10,00,000.00","Bangalore, Karnataka, India",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,
Sportido,2018,2010,"Social Media, Sports",Seed,—,"Noida, Uttar Pradesh, India",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,
Stelis Biopharma,2018,2019,Biopharma,Series B,"$ 10,00,00,000.00","Bangalore, Karnataka, India",Stelis Biopharma is a vertically integrated biopharmaceutical company,
Magicpin,2018,2015,"E-Commerce, E-Commerce Platforms, Retail",Series C,"₹ 1,41,00,00,000.00","Gurgaon, Haryana, India","Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",
Try & Buy,2018,2016,"E-Commerce, Fashion, Shopping",Seed,—,"New Delhi, Delhi, India",Try & Buy,
Mech Mocha,2018,2017,"Digital Entertainment, Mobile, PC Games",Series B,"$ 35,30,000.00","Bangalore, Karnataka, India",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,
Aye Finance,2018,2016,"Finance, Financial Services, Small and Medium Businesses",Debt Financing,"₹ 7,20,00,000.00","Gurgaon, Haryana, India",Aye Finance provides financial services to micro and small businesses in Northern India.,
Aldopay,2018,2020,Mobile Payments,Seed,"$ 2,00,000.00","Chennai, Tamil Nadu, India",Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,
Detect Technologies,2018,2020,"Artificial Intelligence, Energy, Oil and Gas",Series A,"$ 33,00,000.00","Chennai, Tamil Nadu, India",Completely automated remote control system.,
Signzy,2018,2015,"Computer, FinTech, Risk Management, Software",Series A,"₹ 24,00,00,000.00","Bangalore, Karnataka, India",Signzy are creating 'building blocks for a Digital Trust system.,
CashRich,2018,2012,"Apps, Financial Services, FinTech",Seed,"$ 10,00,000.00","Mumbai, Maharashtra, India",A Mumbai-based fin-tech startup,
Cloudnine Hospitals,2018,2015,"Child Care, Health Care, Hospital, Medical, Women's",Private Equity,—,"Bangalore, Karnataka, India",Cloudnine is an Indian chain of women and child care hospitals.,
CropIn Technologies,2018,2012,"Agriculture, Mobile",Series B,"₹ 58,00,00,000.00","Bengaluru, Karnataka, India","To discover, develop and deliver innovative solution in Agtech Space",
Billdesk,2018,2016,"Finance, FinTech, Payments, Property Development, Rental",Venture - Series Unknown,—,"Ahmedabad, Gujarat, India","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",
Yaantra,2018,2017,"Information Services, Information Technology, Mobile, Software",Debt Financing,"$ 20,00,000.00","Delhi, Delhi, India","Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",
TECHBOOZE,2018,2018,Education,Seed,"$ 1,00,000.00","New Delhi, Delhi, India","Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",
HealthifyMe,2018,2018,"Apps, Fitness, Health Care, mHealth",Series B,"$ 60,00,000.00","Bangalore, Karnataka, India",HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,
hoi foods,2018,2016,"Food and Beverage, Food Delivery",Seed,"₹ 3,60,00,000.00","Gurgaon, Haryana, India",India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,
Perpule,2018,2014,"Apps, Payments, Retail",Series A,"₹ 34,00,00,000.00","Bangalore, Karnataka, India",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,
Royal Sundaram General Insurance Co. Limited,2018,2019,"Health Insurance, Insurance, Life Insurance",Corporate Round,"$ 21,00,00,000.00","Kalpakkam, Tamil Nadu, India","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",
CleanseCar,2018,2015,Automotive,Angel,"₹ 3,50,00,000.00","Bangalore, Karnataka, India",CleanseCar is a company provides Washing and Repair Services.,
DRIVEU,2018,2020,"Rental, Taxi Service, Travel",Venture - Series Unknown,"₹ 7,00,00,000.00","Bengaluru, Karnataka, India",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,
Spinny,2018,2012,"E-Commerce, E-Commerce Platforms, Internet, Retail",Series A,"$ 1,10,00,000.00","Gurgaon, Haryana, India",Used cars marketplace in India. Ushering new era of transparency and convenience.,
Asset Reconstruction Company (India) Ltd.,2018,2017,"Financial Services, Professional Services",Secondary Market,—,"Mumbai, Maharashtra, India",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,
Med365 Healthcare,2018,2016,Health Diagnostics,Seed,"₹ 5,00,00,000.00","Jaipur, Rajasthan, India","Wellness, Specialised Testing, Healthcare at Home",
Dunzo,2018,2015,"Customer Service, Messaging, Mobile Apps, Personalization",Debt Financing,"₹ 7,00,00,000.00","Bangalore, Karnataka, India",Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,
Mobile Premier League (MPL),2018,2019,"Gaming, iOS, Sports",Series A,"$ 50,00,000.00","Bengaluru, Karnataka, India",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,
WalMart India,2018,2015,Retail,Venture - Series Unknown,"$ 3,76,80,000.00","Gurgaon, Haryana, India","Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",
Cred,2018,,—,Seed,—,"Bengaluru, Karnataka, India",Cred is a platform to celebrate and reward the most creditworthy people of India.,
Meesho,2018,2017,"E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media",Series C,"$ 5,00,00,000.00","Bangalore, Karnataka, India","Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",
BhaskarGuru,2018,2019,Search Engine,Seed,"$ 10,00,000.00","Bhopal, Madhya Pradesh, India",Bhaskarguru.com is your local search Engine,
Gugu,2018,2008,"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Seed,"$ 2,50,000.00","Coimbatore, Tamil Nadu, India",Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,
FarmTaaza,2018,2020,"Agriculture, Farmers Market, Farming",Series A,—,"Bengaluru, Karnataka, India",Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,
Vizzbee,2018,2014,"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Pre-Seed,"$ 20,000.00","Bhopal, Madhya Pradesh, India",Autonomous Drone Solutions for last mile delivery as well as search and rescue,
BIGPHI TECHNOLOGIES PVT. LTD.,2018,2018,Fashion,Angel,"$ 9,00,000.00","Bangalore, Karnataka, India",BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,
Mobycy,2018,2018,"Fitness, GreenTech, Internet of Things, Mobile Apps, Ride Sharing, Transportation",Angel,—,"Gurgaon, Haryana, India",India's 1st Dockless Bicycle Sharing App,
Traveo Soft Pvt. Ltd.,2018,2020,"Mobile, Software, Travel",Undisclosed,"₹ 12,00,000.00","Bangalore, Karnataka, India",AI based Business Travel & Expense management,
Em Personal Care,2018,2019,Cosmetics,Seed,—,"Worli, Maharashtra, India",Em Personal Care is a Cosmetic products manufacturing Company.,
Lucideus,2018,2016,"Consulting, Cyber Security, Network Security",Venture - Series Unknown,5000000,"New Delhi, Delhi, India","Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",
Eupheus Learning,2018,2017,"E-Learning, EdTech, Education",Seed,—,"Delhi, Delhi, India",Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,
GamingMonk,2018,2018,"eSports, Gaming, Video Games",Series A,"₹ 4,00,00,000.00","New Delhi, Delhi, India","GamingMonk is an eSports gaming company based out of New Delhi, India.",
Sukkhi Jewellery,2018,2018,"Fashion, Jewelry",Venture - Series Unknown,"₹ 51,00,00,000.00","Mumbai, Maharashtra, India",Sukkhi Jewellery is a Contemporary fashion jewellery brand.,
INDwealth,2018,2015,Financial Services,Seed,"₹ 2,20,00,00,000.00","Gurgaon, Haryana, India",INDwealth is an Artificial Intelligence (AI) powered wealth management company,
Medikabazaar,2018,2014,"B2B, Medical Device",Series A,5000000,"Mumbai, Maharashtra, India",India's largest medical and surgical supplies marketplace,
NIRA,2018,2015,"Credit, Financial Services, FinTech, Lending",Seed,1000000,"Bangalore, Karnataka, India","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",
Duroflex Pvt. Ltd.,2018,2014,"Consumer Goods, Manufacturing",Private Equity,22000000,"Alleppey, Kerala, India",Duroflex Pvt. Ltd. operates as a dominant mattress player.,
Clensta,2018,2018,"Biotechnology, Health Care, Wellness",Seed,—,"New Delhi, Delhi, India",A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,
Jetbrain Robotics,2018,2017,"Health Care, Hospital, Medical, Robotics",Seed,70000,"Gurgaon, Haryana, India","Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",
Medimetry,2018,2019,Health Care,Seed,—,"Haryana, Haryana, India","MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",
Healthkart,2018,1999,"E-Commerce, Fitness, Health Care",Venture - Series Unknown,10000000,"Gurgaon, Haryana, India","The one stop shop for health, fitness & beauty.",
Indiabulls Ventures,2018,2015,"Financial Services, Venture Capital",Post-IPO Equity,"₹ 15,39,20,00,000.00","Mumbai, Maharashtra, India",Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,
Vistara,2018,2014,Aerospace,Private Equity,"₹ 20,00,00,00,000.00","Haryana, Haryana, India",Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),
ClearTax,2018,2015,"Accounting, Apps, FinTech",Series B,"₹ 4,00,00,00,000.00","New Delhi, Delhi, India",ClearTax India helps individuals prepare and e-file their Income Tax Return online.,
Shuttl,2018,2008,"Apps, Mobile, Transportation",Debt Financing,1000000,"Gurgaon, Haryana, India","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",
GuruQ,2018,2017,Reading Apps,Seed,"₹ 2,50,00,000.00","New Delhi, Delhi, India",A one of its kind digital integrated platform connecting tutors and students.,
Azure Power,2018,2014,"Energy, Renewable Energy, Solar",Post-IPO Equity,185000000,"New Delhi, Delhi, India","Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",
Cube,2018,2017,"Banking, Financial Services, FinTech",Series A,"₹ 14,00,00,000.00","Mumbai, Maharashtra, India",Cube is consumer banking focused fintech company.,
RAHI Care,2018,2012,"Health Care, Hospital",Venture - Series Unknown,—,"Chandigarh, Chandigarh, India",RAHI Care is a Health Care company.,
Mynvax,2018,2016,Biotechnology,Angel,—,"Bangalore, Karnataka, India",Mynvax is a biotech Company.,
Loans4SME,2018,2017,Financial Services,Seed,—,"Mumbai, Maharashtra, India",Loans4SME is an alternative lending platform.,
UpCyclersLab,2018,2015,"Apps, Education, Retail",Seed,—,"Mumbai, Maharashtra, India",UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,
Cellerite Systems,2018,,Electric Vehicle,Seed,—,"Hyderabad, Andhra Pradesh, India",Cellerite Systems is a charging solutions provider for electric vehicles.,
Taru Naturals,2018,1994,"Agriculture, Farming",Seed,—,"Mumbai, Maharashtra, India",Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,
LetsMD,2018,2011,"Fitness, Health Care, Wellness",Seed,1000000,"New Delhi, Delhi, India",LetsMD.com is a marketplace for elective surgeries,
Twenty Two Motors,2018,2006,"Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",Corporate Round,65000000,"Haryana, Haryana, India",Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,
Truebil,2018,2019,"Automotive, E-Commerce, Marketplace",Series A,2000000,"Mumbai, Maharashtra, India","Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",
FarmersFZ,2018,2015,Agriculture,Seed,—,"Kochi, Kerala, India",FarmersFZ is an online venture for fresh and safe vegetables and agri products.,
Worxogo,2018,2015,Information Technology,Series A,"₹ 16,50,00,000.00","Bangalore, Karnataka, India",worxogo’s is a pioneering persuasive technology products align employee behaviours .,
Vivish Technologies (myGate),2018,2012,"Apps, Information Services, Information Technology",Series A,"₹ 65,00,00,000.00","Bengaluru, Karnataka, India",India's leading mobile based security management solution .,
Singularity Dynamics,2018,2017,Artificial Intelligence,Seed,—,"Bengaluru, Karnataka, India",Singularity Dynamics is a Chip-design testing startup.,
Virtual MetalStreet(MetalStreet),2018,2019,"B2B, Marketplace",Angel,700000,"Bengaluru, Karnataka, India",Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,
Veritas Finance,2018,2014,Financial Services,Venture - Series Unknown,30000000,"Guindy, Tamil Nadu, India",Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,
Manjushree Technopack,2018,2013,Packaging Services,Private Equity,—,"Bangalore, Karnataka, India",Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,
GoZefo,2018,2017,"Computer, Furniture, Software",Venture - Series Unknown,"₹ 21,00,00,000.00","Bangalore, Karnataka, India",Startup working on a white space in the eCommerce industry.,
Zomato,2018,2016,"Food Delivery, Hospitality, Reservations, Restaurants, Search Engine",Secondary Market,210000000,"Gurgaon, Haryana, India",Zomato is a search app offering detailed information for restaurants as well as online food delivery.,
Innov8 Coworking,2018,2018,"Collaboration, Communities, Coworking, Real Estate",Seed,4000000,"New Delhi, Delhi, India",Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,
RevFin,2018,2016,"Accounting, Banking, Finance",Seed,—,"Delhi, Delhi, India",RevFin is a digital lending company.,
Lavelle Networks,2018,,"Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",Venture - Series Unknown,"₹ 2,00,00,000.00","Bengaluru, Karnataka, India",Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,
Blackbuck,2018,2015,"Information Services, Internet, Logistics, Supply Chain Management, Transportation",Series D,"₹ 2,02,96,00,000.00","Bengaluru, Karnataka, India",Blackbuck is a logistics startup based in India.,
Cardekho,2018,2010,"Automotive, E-Commerce, Information Services",Series C,75000000,"Gurgaon, Haryana, India",Cardekho is a car search venture that helps users buy cars that are right for them.,
ElasticRun,2018,2019,"Delivery, Logistics, Transportation",Series B,"₹ 60,00,00,000.00","Pune, Maharashtra, India",ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,
Droom Technology Private Limited,2018,2015,"Automotive, E-Commerce Platforms, Marketplace",Series E,30000000,"Gurgaon, Haryana, India",Droom is a marketplace for automobiles and automobile services.,
Vogo Rentals,2018,2018,"Last Mile Transportation, Railroad, Transportation, Travel",Debt Financing,"₹ 8,00,00,000.00","Kormangala, Karnataka, India",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,
InnerChef,2018,2017,"Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",Venture - Series Unknown,1760000,"Gurgaon, Haryana, India",InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,
LivQuik,2018,2013,"FinTech, Mobile, Mobile Payments, Payments, Retail Technology",Corporate Round,2700000,"Mumbai, Maharashtra, India",LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,
Disprz,2018,2015,"E-Learning, Education",Debt Financing,400000,"Chennai, Tamil Nadu, India","Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",
9stacks,2018,2006,"Online Games, Software",Series A,"₹ 28,00,00,000.00","Delhi, Delhi, India",Online gaming startup.,
Origo,2018,2005,—,Venture - Series Unknown,"₹ 80,00,00,000.00","Gurgaon, Haryana, India","Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",
YourOwnROOM,2018,2017,"Online Portals, Property Management, Rental",Seed,750000,"Bangalore, Karnataka, India","Good quality, strategically located homes closer to work for millennials",
Vahdam Teas,2018,2018,"E-Commerce, Food and Beverage, Tea",Series B,2500000,"New Delhi, Delhi, India",Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,
Spoofin,2018,2013,"Music, Social Network, Video",Venture - Series Unknown,—,"New Delhi, Delhi, India",A social networking app that lets you create and view Spoofs of your favourite videos.,
Strom Motors,2018,2012,Automotive,Angel,—,"Mumbai, Maharashtra, India",Strom Motors is a smart urban mobility Company.,
PharmEasy,2018,2013,"Health Care, Pharmaceutical, Wellness",Series C,80000000,"Mumbai, Maharashtra, India",PharmEasy - Indias largest healthcare delivery platform,
Licious,2018,2011,"Delivery Service, Food and Beverage, Food Delivery",Series C,25000000,"Bengaluru, Karnataka, India","Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",
Stanza Living,2018,2018,"Hospitality, Information Technology, Travel Accommodations",Venture - Series Unknown,"₹ 73,00,00,000.00","New Delhi, Delhi, India",Stanza Living is a co-living platform created for students moving to a new place.,
docturnal,2018,2015,"Biotechnology, Diabetes, Health Care",Seed,—,"Hyderabad, Andhra Pradesh, India","Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",
Bounce (Metro Bikes),2018,2016,"Autonomous Vehicles, Last Mile Transportation, Recreational Vehicles, Rental",Debt Financing,3000000,"Bangalore, Karnataka, India","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",
Technology 9 Labs (T9L),2018,2015,Information Technology,Corporate Round,—,"New Delhi, Delhi, India",Technology 9 Labs is an Information Technology and Services company.,
Goals101,2018,2016,Financial Services,Seed,3500000,"Delhi, Delhi, India",Goals101 is a one of the fastest growing big-data platforms.,
Satya MicroCapital,2018,2014,"Finance, Financial Exchanges, Financial Services, Micro Lending",Venture - Series Unknown,"₹ 40,00,00,000.00","New Delhi, Delhi, India",New Delhi-based non-banking financial company.,
Ummeed Housing Finance Private Limited,2018,2019,"Finance, Financial Services",Series C,"₹ 60,00,00,000.00","Haryana, Haryana, India",Ummeed Housing Finance Private Limited,
StockEdge,2018,2012,"Analytics, Apps, Market Research",Seed,1100000,"Kolkata, West Bengal, India","StockEdge is a unique platform, which is 100% focused on research and analytics",
Sequretek,2018,2016,—,Venture - Series Unknown,3700000,"Mumbai, Maharashtra, India",Sequretek is a cyber security start-up.,
Avenues Payments India Pvt. Ltd.,2018,2018,—,Corporate Round,1300000,"Mumbai, Maharashtra, India",Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.,
Qbera,2018,2018,"Finance, Financial Services",Venture - Series Unknown,"₹ 14,00,00,000.00","Bangalore, Karnataka, India",Qbera is a managed marketplace for unsecured personal loans.,
Urban Ladder,2018,2010,"E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet",Debt Financing,5600000,"Bangalore, Karnataka, India",Urban Ladder is a Bangalore-based online furniture company.,
Planet11 eCommerce Solutions India (Avenue11),2018,2007,—,Corporate Round,"₹ 26,00,00,000.00","Bengaluru, Karnataka, India","Planet11 is backed by SK Planet, which is a part of the SK Group – one of the largest conglomerates in South Korea.",
DailyNinja,2018,2017,"Apps, Mobile, Mobile Apps, Software",Series A,—,"Bengaluru, Karnataka, India","Daily Ninja, a mobile app that delivers daily needs on a subscription model",
Iba Halal Care,2018,2017,—,Series A,"₹ 15,00,00,000.00","Ahmedabad, Gujarat, India",Iba Halal Care is a cosmetics brand company.,
Knocksense,2018,2016,"News, Publishing, Social Media",Seed,—,"Lucknow, Uttar Pradesh, India",Knocksense is a fast growing lifestyle website.,
Togedr,2018,2011,—,Venture - Series Unknown,—,"Gurgaon, Haryana, India",Togedr is an activity discovery & booking platform.,
Parkwheels,2018,2015,"Industrial, Industrial Automation",Seed,"₹ 1,20,00,000.00","Haryana, Haryana, India","Parkwheels aims at solving the big, bad & unsexy parking problems of India.",
ShareChat,2018,1973,"Internet, Mobile Apps, Social Network",Series C,99230000,"Bangalore, Karnataka, India",ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,
Cyclops Medtech,2018,2020,"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Seed,1000000,"Bangalore, Karnataka, India",Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,
Livspace,2018,2011,"E-Commerce, Furniture, Interior Design",Series C,70000000,"Bangalore, Karnataka, India","Livspace is the new online shopping destination where you can design, decorate and furnish your dream home.",
NewsBytes,2018,2018,"Apps, Events, News",Seed,1000000,"Gurgaon, Haryana, India",NewsBytes provides your everyday news in a contextual timeline to reduce information overload.,
Leena AI,2018,2015,"Artificial Intelligence, Human Resources, Information Services, Information Technology",Seed,2000000,"Gurgaon, Haryana, India",Leena is smart AI powered HR companion dedicated towards engaging employees.,
Max Healthcare,2018,2018,"Health Care, Hospital, Supply Chain Management",Corporate Round,—,"New Delhi, Delhi, India",Max Healthcare is one of the leading chain of hospitals in India.,
GoBolt,2018,2008,"Logistics, Railroad, Transportation",Venture - Series Unknown,"₹ 40,00,00,000.00","New Delhi, Delhi, India",Delhi-based logistics technology.,
GoGaga,2018,2018,"Dating, Private Social Networking",Non-equity Assistance,40000,"Bangalore City, Karnataka, India",GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches.,
Mate Labs,2018,2012,"Artificial Intelligence, Machine Learning, PaaS",Seed,550000,"Bangalore, Karnataka, India",Mate Labs is a machine learning solutions platform for beginners.,
Furlenco,2018,2018,"Consumer, Furniture, Home Decor, Home Improvement",Series C,—,"Bangalore, Karnataka, India",Furlenco is a Bangalore-based company that offers a home furniture subscription program.,
Ola,2018,2015,"Apps, E-Commerce, Internet, Mobile, Ride Sharing, Transportation",Venture - Series Unknown,50000000,"Kormangala, Karnataka, India",Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hassle-free in India.,
DocPrime,2018,2011,"Health Care, Health Insurance",Funding Round,50000000,"Haryana, Haryana, India",DocPrime offers a one-stop healthcare solution right at the comfort of patients' homes.,
CLP India Pvt. Ltd.,2018,2012,"Energy, Natural Resources",Private Equity,365000000,"Mumbai, Maharashtra, India",CLP India Pvt. Ltd. is a foreign investor in the Indian power sector.,
Xplorabox,2018,2012,"E-Commerce, Education, Health Care",Seed,—,"Noida, Uttar Pradesh, India",Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,
Myra,2018,2008,"Apps, Health Care, Pharmaceutical",Venture - Series Unknown,"₹ 87,50,000.00","Bangalore, Karnataka, India",Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,
Vokal,2018,2016,"Internet, Knowledge Management",Series A,1500000,"Bengaluru, Karnataka, India",India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,
Kissht,2018,2015,"Credit, Finance, FinTech, Lending, Sales Automation",Series C,30000000,"Mumbai, Maharashtra, India","Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",
Upwards Fintech,2018,2019,"Banking, Financial Services, Internet",Series A,5000000,"Mumbai, Maharashtra, India",Upwards Fintech financial company.,
Bon(Bonfleet Solutions),2018,2016,"Financial Services, FinTech",Seed,"₹ 7,80,00,000.00","Pune, Maharashtra, India","Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",
Mamaearth,2018,2018,"E-Commerce, Health Care, Retail",Series A,4000000,"Gurgaon, Haryana, India",Mamaearth is an online retailer specializing in baby and toddler products.,
BabyChakra,2018,2008,"Child Care, Information Technology",Series B,—,"Mumbai, Maharashtra, India",BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,
Belstar Investment and Finance Private Limited,2018,2017,"Financial Services, Micro Lending",Venture - Series Unknown,28000000,"Chennai, Tamil Nadu, India",Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,
Naaptol,2018,2010,"E-Commerce, Retail, Shopping",Venture - Series Unknown,15000000,"Mumbai, Maharashtra, India","Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",
Moonshine Meadery,2018,2013,Food and Beverage,Seed,—,"Pune, Maharashtra, India",Moonshine Meadery is a first craft meadery.,
Verzeo,2018,2013,E-Learning,Series A,5000000,"Bangalore, Karnataka, India",Verzeo is anAI-focussed edtech startup.,
Haazri,2018,2018,"Food and Beverage, Snack Food, Tea",Seed,"₹ 1,25,00,000.00","Mumbai, Maharashtra, India",Haazri is a tea and snack quick service restaurant startup,
Connect India,2018,2018,"Delivery Service, E-Commerce, Logistics",Angel,—,"New Delhi, Delhi, India","To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",
Flyrobe,2018,2015,"Fashion, Lifestyle, Rental",Series B,"₹ 26,40,00,000.00","Mumbai, Maharashtra, India",Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,
Scholify,2018,2008,—,Pre-Seed,—,"Bengaluru, Karnataka, India",Edutech,
